id,votes,amount,decade
"Web development coding (HTML, CSS, Javascript, PHP)",14,6,yes
Software and app development coding,3,6,no
VR/AR development,3,6,yes
Visual design concepts,5,6,no
Physical computing,0,11,yes
3D modeling and redering,1,6,no
Motion graphics,1,9,yes
Blockchain technology,5,9,no
"Business skills (Writing, presenting and project management)",4,6,yes
Data management and data visualizations,6,6,no
AI & machine learning,15,6,yes
Storytelling and/or game design,1,11,no
Principles of Design,4,1,yes